ID,startval,alpha,N,Delta,time
0,1,1.00E-07,256,32,0.00886
1,1,1.00E-07,256,16,0.00756
2,1,1.00E-07,256,32,0.00792
3,1,1.00E-06,1024,128,0.04137
4,1,1.00E-06,1024,64,0.03456
5,1,1.00E-06,1024,128,0.03491
6,1,1.00E-06,1024,64,0.03059
7,1,1.00E-06,1024,32,0.03147
8,1,1.00E-06,1024,16,0.03241
9,1,1.00E-06,1024,8,0.02847
10,1,1.00E-06,1024,4,0.02773
11,1,1.00E-06,1024,2,0.02868
12,1,1.00E-06,1024,1,0.02765
13,1,1.00E-06,1024,0,0.0288
14,1,1.00E-07,256,16,0.00694
15,1,1.00E-05,1024,128,0.03692
16,1,1.00E-05,1024,64,0.03087
17,1,1.00E-05,1024,128,0.03469
18,1,1.00E-05,1024,64,0.03077
19,1,1.00E-05,1024,128,0.03961
20,1,1.00E-05,1024,64,0.03161
21,1,1.00E-05,1024,32,0.03217
22,1,1.00E-05,1024,16,0.033
23,1,1.00E-05,1024,8,0.0285
24,1,1.00E-05,1024,128,0.04422
25,1,1.00E-05,1024,64,0.03566
26,1,1.00E-05,1024,32,0.03583
27,1,1.00E-05,1024,16,0.02895
28,1,1.00E-05,1024,8,0.02823
29,1,1.00E-05,1024,4,0.02902
30,1,1.00E-05,1024,128,0.03589
31,1,1.00E-05,1024,64,0.03825
32,1,1.00E-05,1024,32,0.03517
33,1,1.00E-05,1024,16,0.03516
34,1,1.00E-05,1024,8,0.02804
35,1,1.00E-05,1024,4,0.02886
36,1,1.00E-05,1024,128,0.04074
37,1,1.00E-05,1024,64,0.03373
38,1,1.00E-05,1024,32,0.03542
39,1,1.00E-05,1024,16,0.02897
40,1,1.00E-05,1024,8,0.028
41,1,1.00E-05,1024,4,0.02886
42,1,1.00E-05,1024,128,0.0414
43,1,1.00E-05,1024,64,0.03427
44,1,1.00E-05,1024,32,0.03854
45,1,1.00E-05,1024,16,0.03194
46,1,1.00E-05,1024,8,0.02859
47,1,1.00E-05,1024,4,0.0295
48,1,1.00E-05,1024,128,0.04235
49,1,1.00E-05,1024,64,0.03503
50,1,1.00E-05,1024,32,0.03504
51,1,1.00E-05,1024,16,0.02899
52,1,1.00E-05,1024,8,0.0282
53,1,1.00E-05,1024,4,0.02909
54,1,1.00E-05,1024,2,0.02816
55,1,1.00E-05,1024,128,0.03852
56,1,1.00E-05,1024,64,0.03112
57,1,1.00E-05,1024,32,0.03165
58,1,1.00E-05,1024,16,0.03317
59,1,1.00E-05,1024,8,0.02868
60,1,1.00E-05,1024,128,0.03778
61,1,1.00E-05,1024,64,0.03618
62,1,1.00E-05,1024,32,0.03491
63,1,1.00E-05,1024,16,0.02856
64,1,1.00E-05,1024,8,0.02842
65,1,1.00E-05,1024,128,0.04266
66,1,1.00E-05,1024,64,0.03129
67,1,1.00E-05,1024,32,0.03271
68,1,1.00E-05,1024,16,0.03312
69,1,1.00E-05,1024,8,0.02904
70,1,1.00E-05,1024,4,0.02799
71,1,1.00E-05,1024,2,0.02892
72,1,1.00E-05,1024,128,0.04409
73,1,1.00E-05,1024,64,0.03399
74,1,1.00E-05,1024,32,0.03529
75,1,1.00E-05,1024,16,0.02864
76,1,1.00E-05,1024,8,0.02855
77,1,1.00E-05,1024,4,0.02878
78,1,1.00E-05,1024,2,0.02844
79,1,1.00E-05,1024,128,0.03678
80,1,1.00E-05,1024,64,0.03137
81,1,1.00E-05,1024,32,0.03263
82,1,1.00E-05,1024,16,0.03288
83,1,1.00E-05,1024,8,0.02861
84,1,1.00E-05,1024,4,0.02777
85,1,1.00E-05,1024,2,0.02898
86,1,1.00E-05,1024,1,0.02828
87,1,1.00E-05,1024,128,0.03802
88,1,1.00E-05,1024,64,0.03103
89,1,1.00E-05,1024,32,0.0323
90,1,1.00E-05,1024,16,0.03263
91,1,1.00E-05,1024,8,0.0296
92,1,1.00E-05,1024,4,0.02882
93,1,1.00E-05,1024,2,0.02914
94,1,1.00E-05,1024,1,0.02843
95,1,1.00E-05,1024,128,0.03926
96,1,1.00E-05,1024,64,0.0334
97,1,1.00E-05,1024,32,0.03314
98,1,1.00E-05,1024,16,0.03289
99,1,1.00E-05,1024,8,0.0287
100,1,1.00E-05,1024,4,0.02803
101,1,1.00E-05,1024,2,0.02871
102,1,1.00E-05,1024,1,0.02808
103,1,1.00E-05,1024,128,0.03905
104,1,1.00E-05,1024,64,0.03302
105,1,1.00E-05,1024,32,0.03308
106,1,1.00E-05,1024,16,0.03294
107,1,1.00E-05,1024,8,0.0289
108,1,1.00E-05,1024,4,0.02817
109,1,1.00E-05,1024,2,0.02904
110,1,1.00E-05,1024,1,0.02809
111,1,1.00E-05,1024,128,0.04054
112,1,1.00E-05,1024,64,0.03344
113,1,1.00E-05,1024,32,0.03352
114,1,1.00E-05,1024,16,0.03295
115,1,1.00E-05,1024,8,0.0289
116,1,1.00E-05,1024,4,0.02808
117,1,1.00E-05,1024,2,0.02897
118,1,1.00E-05,1024,1,0.0282
119,1,1.00E-05,1024,0,0.02878
120,1,0.0001,1024,128,0.04306
121,1,0.0001,1024,128,0.03531
122,1,0.0001,1024,64,0.0327
123,1,0.0001,1024,32,0.03295
124,1,0.0001,1024,128,0.04314
125,1,0.0001,1024,64,0.03468
126,1,0.0001,1024,32,0.03506
127,1,0.0001,1024,16,0.02991
128,1,0.0001,1024,8,0.02843
129,1,0.0001,1024,4,0.02886
130,1,0.0001,1024,2,0.02832
131,1,0.0001,1024,128,0.04044
132,1,0.0001,1024,128,0.04118
133,1,0.0001,1024,128,0.0662
134,1,0.0001,1024,128,0.03729
135,1,0.0001,1024,64,0.04228
136,1,0.0001,1024,128,0.09402
137,1,0.0001,1024,64,0.04226
138,1,0.0001,1024,128,0.07884
139,1,0.0001,1024,64,0.04094
140,1,0.0001,1024,32,0.04386
141,1,0.0001,1024,16,0.03381
142,1,0.0001,1024,8,0.03062
143,1,0.0001,1024,128,0.08893
144,1,0.0001,1024,64,0.04202
145,1,0.0001,1024,32,0.044
146,1,0.0001,1024,16,0.03377
147,1,0.0001,1024,8,0.02997
148,1,0.0001,1024,4,0.0294
149,1,0.0001,1024,128,0.07808
150,1,0.0001,1024,64,0.03998
151,1,0.0001,1024,32,0.04337
152,1,0.0001,1024,16,0.03354
153,1,0.0001,1024,8,0.03029
154,1,0.0001,1024,4,0.02973
155,1,0.0001,1024,2,0.0293
156,1,0.0001,1024,1,0.02879
157,1,0.0001,1024,128,0.08203
158,1,0.0001,1024,64,0.04138
159,1,0.0001,1024,32,0.04453
160,1,0.0001,1024,16,0.03371
161,1,0.0001,1024,8,0.03028
162,1,0.0001,1024,4,0.02926
163,1,0.0001,1024,2,0.02935
164,1,0.0001,1024,128,0.0803
165,1,0.0001,1024,64,0.04127
166,1,0.0001,1024,32,0.04395
167,1,0.0001,1024,16,0.03388
168,1,0.0001,1024,8,0.03042
169,1,0.0001,1024,4,0.02952
170,1,0.0001,1024,2,0.02959
171,1,0.0001,1024,1,0.02932
172,1,0.0001,1024,128,0.08194
173,1,0.0001,1024,64,0.04097
174,1,0.0001,1024,32,0.04452
175,1,0.0001,1024,16,0.03373
176,1,0.0001,1024,8,0.03078
177,1,0.0001,1024,4,0.02936
178,1,0.0001,1024,2,0.02926
179,1,0.0001,1024,1,0.02864
180,1,0.0001,1024,0,0.02932
181,1,0.001,1024,128,0.03664
182,1,0.001,1024,128,0.03651
183,1,0.001,1024,128,0.07174
184,1,0.001,1024,128,0.09103
185,1,0.001,1024,64,0.04029
186,1,0.001,1024,128,0.03489
187,1,0.001,1024,128,0.06856
188,1,0.001,1024,64,0.03937
189,1,0.001,1024,128,0.07432
190,1,0.001,1024,64,0.04039
191,1,0.001,1024,128,0.08515
192,1,0.001,1024,64,0.04104
193,1,0.001,1024,128,0.08151
194,1,0.001,1024,64,0.04166
195,1,0.001,1024,128,0.08229
196,1,0.001,1024,64,0.04175
197,1,0.001,1024,128,0.08379
198,1,0.001,1024,64,0.04142
199,1,0.001,1024,128,0.08426
200,1,0.001,1024,64,0.04161
201,1,0.001,1024,128,0.08356
202,1,0.001,1024,64,0.04138
203,1,0.001,1024,32,0.04376
204,1,0.001,1024,128,0.08554
205,1,0.001,1024,64,0.0416
206,1,0.001,1024,32,0.04436
207,1,0.001,1024,16,0.03396
208,1,0.001,1024,128,0.07669
209,1,0.001,1024,64,0.04105
210,1,0.001,1024,32,0.04271
211,1,0.001,1024,128,0.08633
212,1,0.001,1024,64,0.04134
213,1,0.001,1024,128,0.07902
214,1,0.001,1024,64,0.04091
215,1,0.001,1024,32,0.04398
216,1,0.001,1024,16,0.03412
217,1,0.001,1024,128,0.08273
218,1,0.001,1024,64,0.0413
219,1,0.001,1024,32,0.04484
220,1,0.001,1024,16,0.03426
221,1,0.001,1024,8,0.03034
222,1,0.001,1024,128,0.07215
223,1,0.001,1024,64,0.03953
224,1,0.001,1024,128,0.07002
225,1,0.001,1024,64,0.03935
226,1,0.001,1024,32,0.04336
227,1,0.001,1024,16,0.03413
228,1,0.001,1024,128,0.07332
229,1,0.001,1024,64,0.03983
230,1,0.001,1024,32,0.04441
231,1,0.001,1024,16,0.03436
232,1,0.001,1024,8,0.03076
233,1,0.001,1024,128,0.07234
234,1,0.001,1024,64,0.04014
235,1,0.001,1024,32,0.04416
236,1,0.001,1024,128,0.07064
237,1,0.001,1024,64,0.03857
238,1,0.001,1024,128,0.06759
239,1,0.001,1024,64,0.03834
240,1,0.001,1024,32,0.04396
241,1,0.001,1024,16,0.03414
242,1,0.001,1024,128,0.06946
243,1,0.001,1024,64,0.03856
244,1,0.001,1024,32,0.04427
245,1,0.001,1024,16,0.03398
246,1,0.001,1024,8,0.0308
247,1,0.001,1024,128,0.06823
248,1,0.001,1024,64,0.03859
249,1,0.001,1024,32,0.04362
250,1,0.001,1024,16,0.03396
251,1,0.001,1024,128,0.06857
252,1,0.001,1024,64,0.03987
253,1,0.001,1024,32,0.04457
254,1,0.001,1024,16,0.03429
255,1,0.001,1024,8,0.03078
256,1,0.001,1024,128,0.06734
257,1,0.001,1024,64,0.03817
258,1,0.001,1024,32,0.04397
259,1,0.001,1024,16,0.03367
260,1,0.001,1024,128,0.06676
261,1,0.001,1024,64,0.0384
262,1,0.001,1024,32,0.04448
263,1,0.001,1024,16,0.03391
264,1,0.001,1024,128,0.06504
