ID,startval,alpha,N,Delta,time
0,1,1.00E-07,256,32,0.02857518196106
1,1,1.00E-07,256,16,0.016499519348145
2,1,1.00E-07,256,32,0.011510372161865
3,1,1.00E-06,1024,128,0.118846893310547
4,1,1.00E-06,1024,64,0.037261724472046
5,1,1.00E-06,1024,128,0.046618938446045
6,1,1.00E-06,1024,64,0.039055585861206
7,1,1.00E-06,1024,32,0.048977613449097
8,1,1.00E-06,1024,16,0.113801002502441
9,1,1.00E-06,1024,8,0.035979986190796
10,1,1.00E-06,1024,4,0.035793542861938
11,1,1.00E-06,1024,2,0.03690242767334
12,1,1.00E-06,1024,1,0.185523271560669
13,1,1.00E-06,1024,0,0.013687133789063
14,1,1.00E-07,256,16,0.022584199905396
15,1,1.00E-05,1024,128,0.121719598770142
16,1,1.00E-05,1024,64,0.040194272994995
17,1,1.00E-05,1024,128,0.047854423522949
18,1,1.00E-05,1024,64,0.045294523239136
19,1,1.00E-05,1024,128,0.811362981796265
20,1,1.00E-05,1024,64,0.105476140975952
21,1,1.00E-05,1024,32,0.109904050827026
22,1,1.00E-05,1024,16,0.107126712799072
23,1,1.00E-05,1024,8,0.865339040756226
24,1,1.00E-05,1024,128,3.91768097877502
25,1,1.00E-05,1024,64,0.100238084793091
26,1,1.00E-05,1024,32,0.103768110275268
27,1,1.00E-05,1024,16,0.109981060028076
28,1,1.00E-05,1024,8,0.550801992416382
29,1,1.00E-05,1024,4,0.054291963577271
30,1,1.00E-05,1024,128,0.076259136199951
31,1,1.00E-05,1024,64,0.929669618606567
32,1,1.00E-05,1024,32,0.048039197921753
33,1,1.00E-05,1024,16,0.100260734558105
34,1,1.00E-05,1024,8,0.210581302642822
35,1,1.00E-05,1024,4,0.055742740631104
36,1,1.00E-05,1024,128,0.256177663803101
37,1,1.00E-05,1024,64,0.123984813690185
38,1,1.00E-05,1024,32,0.355836153030395
39,1,1.00E-05,1024,16,0.1113121509552
40,1,1.00E-05,1024,8,0.07584810256958
41,1,1.00E-05,1024,4,0.11243462562561
42,1,1.00E-05,1024,128,0.21241545677185
43,1,1.00E-05,1024,64,0.042662143707275
44,1,1.00E-05,1024,32,0.335298538208008
45,1,1.00E-05,1024,16,0.110636472702026
46,1,1.00E-05,1024,8,0.077691078186035
47,1,1.00E-05,1024,4,0.111900568008423
48,1,1.00E-05,1024,128,0.162827253341675
49,1,1.00E-05,1024,64,0.139493227005005
50,1,1.00E-05,1024,32,0.097467422485352
51,1,1.00E-05,1024,16,0.118225574493408
52,1,1.00E-05,1024,8,0.054797410964966
53,1,1.00E-05,1024,4,0.10303521156311
54,1,1.00E-05,1024,2,0.053393840789795
55,1,1.00E-05,1024,128,0.129009962081909
56,1,1.00E-05,1024,64,0.043478012084961
57,1,1.00E-05,1024,32,0.036613464355469
58,1,1.00E-05,1024,16,0.103416442871094
59,1,1.00E-05,1024,8,0.225721597671509
60,1,1.00E-05,1024,128,0.130331993103027
61,1,1.00E-05,1024,64,0.161222696304321
62,1,1.00E-05,1024,32,0.454673051834106
63,1,1.00E-05,1024,16,0.039767026901245
64,1,1.00E-05,1024,8,0.191914558410644
65,1,1.00E-05,1024,128,0.752692222595215
66,1,1.00E-05,1024,64,0.041535139083862
67,1,1.00E-05,1024,32,0.088281393051147
68,1,1.00E-05,1024,16,3.18196177482605
69,1,1.00E-05,1024,8,0.172404527664184
70,1,1.00E-05,1024,4,0.092608690261841
71,1,1.00E-05,1024,2,0.184800148010254
72,1,1.00E-05,1024,128,0.307552576065063
73,1,1.00E-05,1024,64,0.041800737380981
74,1,1.00E-05,1024,32,0.088651895523071
75,1,1.00E-05,1024,16,4.3337676525116
76,1,1.00E-05,1024,8,0.241454124450684
77,1,1.00E-05,1024,4,0.049138784408569
78,1,1.00E-05,1024,2,0.271710395812988
79,1,1.00E-05,1024,128,0.045834541320801
80,1,1.00E-05,1024,64,0.050338268280029
81,1,1.00E-05,1024,32,0.101074457168579
82,1,1.00E-05,1024,16,4.29782056808472
83,1,1.00E-05,1024,8,0.239459753036499
84,1,1.00E-05,1024,4,0.097159624099731
85,1,1.00E-05,1024,2,0.337352752685547
86,1,1.00E-05,1024,1,0.245200157165527
87,1,1.00E-05,1024,128,0.065844774246216
88,1,1.00E-05,1024,64,0.043432474136353
89,1,1.00E-05,1024,32,0.086515426635742
90,1,1.00E-05,1024,16,2.68614745140076
91,1,1.00E-05,1024,8,0.249348640441894
92,1,1.00E-05,1024,4,0.090282440185547
93,1,1.00E-05,1024,2,0.323860168457031
94,1,1.00E-05,1024,1,0.238800525665283
95,1,1.00E-05,1024,128,0.123790264129639
96,1,1.00E-05,1024,64,0.150900840759277
97,1,1.00E-05,1024,32,0.208997249603271
98,1,1.00E-05,1024,16,3.61667704582214
99,1,1.00E-05,1024,8,0.243376493453979
100,1,1.00E-05,1024,4,0.068681955337524
101,1,1.00E-05,1024,2,0.363003730773926
102,1,1.00E-05,1024,1,0.247478008270264
103,1,1.00E-05,1024,128,0.120874166488647
104,1,1.00E-05,1024,64,0.093480110168457
105,1,1.00E-05,1024,32,0.12396240234375
106,1,1.00E-05,1024,16,0.778050184249878
107,1,1.00E-05,1024,8,0.258635520935059
108,1,1.00E-05,1024,4,0.046679496765137
109,1,1.00E-05,1024,2,0.375213623046875
110,1,1.00E-05,1024,1,0.241184711456299
111,1,1.00E-05,1024,128,0.163278341293335
112,1,1.00E-05,1024,64,0.149576902389526
113,1,1.00E-05,1024,32,0.177594184875488
114,1,1.00E-05,1024,16,2.35230541229248
115,1,1.00E-05,1024,8,0.229720592498779
116,1,1.00E-05,1024,4,0.065826654434204
117,1,1.00E-05,1024,2,0.351012468338013
118,1,1.00E-05,1024,1,0.250019550323486
119,1,1.00E-05,1024,0,0.013843536376953
120,1,0.0001,1024,128,0.124205589294434
121,1,0.0001,1024,128,0.051983594894409
122,1,0.0001,1024,64,0.104622602462768
123,1,0.0001,1024,32,0.112575054168701
124,1,0.0001,1024,128,0.744296073913574
125,1,0.0001,1024,64,0.044032096862793
126,1,0.0001,1024,32,0.039312362670898
127,1,0.0001,1024,16,2.60468554496765
128,1,0.0001,1024,8,0.038557767868042
129,1,0.0001,1024,4,0.038733720779419
130,1,0.0001,1024,2,0.252351522445679
131,1,0.0001,1024,128,0.502274513244629
132,1,0.0001,1024,128,1.62401080131531
133,1,0.0001,1024,128,1.88777780532837
134,1,0.0001,1024,128,0.178266525268555
135,1,0.0001,1024,64,4.06504082679749
136,1,0.0001,1024,128,2.52317953109741
137,1,0.0001,1024,64,3.84007811546326
138,1,0.0001,1024,128,1.00788855552673
139,1,0.0001,1024,64,1.85359740257263
140,1,0.0001,1024,32,0.63817286491394
141,1,0.0001,1024,16,0.774960517883301
142,1,0.0001,1024,8,0.41122031211853
143,1,0.0001,1024,128,1.7251193523407
144,1,0.0001,1024,64,3.86418867111206
145,1,0.0001,1024,32,0.71666693687439
146,1,0.0001,1024,16,0.466024875640869
147,1,0.0001,1024,8,0.433897256851196
148,1,0.0001,1024,4,0.15883469581604
149,1,0.0001,1024,128,0.437803745269775
150,1,0.0001,1024,64,1.11299109458923
151,1,0.0001,1024,32,0.716172456741333
152,1,0.0001,1024,16,0.343766689300537
153,1,0.0001,1024,8,0.850461959838867
154,1,0.0001,1024,4,0.147144317626953
155,1,0.0001,1024,2,0.223604917526245
156,1,0.0001,1024,1,1.34603929519653
157,1,0.0001,1024,128,1.54348182678223
158,1,0.0001,1024,64,1.0354471206665
159,1,0.0001,1024,32,0.730615615844727
160,1,0.0001,1024,16,0.341228246688843
161,1,0.0001,1024,8,0.274748086929321
162,1,0.0001,1024,4,0.241050481796265
163,1,0.0001,1024,2,0.352188587188721
164,1,0.0001,1024,128,0.407803773880005
165,1,0.0001,1024,64,0.71391487121582
166,1,0.0001,1024,32,0.524218559265137
167,1,0.0001,1024,16,0.466121435165405
168,1,0.0001,1024,8,0.704881906509399
169,1,0.0001,1024,4,0.146024942398071
170,1,0.0001,1024,2,0.282920598983765
171,1,0.0001,1024,1,1.35424304008484
172,1,0.0001,1024,128,0.665269136428833
173,1,0.0001,1024,64,3.63228583335876
174,1,0.0001,1024,32,0.772416830062866
175,1,0.0001,1024,16,0.338173866271973
176,1,0.0001,1024,8,0.288508892059326
177,1,0.0001,1024,4,0.234354734420776
178,1,0.0001,1024,2,0.272369623184204
179,1,0.0001,1024,1,1.36040115356445
180,1,0.0001,1024,0,0.01389479637146
181,1,0.001,1024,128,0.120396852493286
182,1,0.001,1024,128,0.051667451858521
183,1,0.001,1024,128,1.2058572769165
184,1,0.001,1024,128,1.45302844047546
185,1,0.001,1024,64,3.74405384063721
186,1,0.001,1024,128,0.066554546356201
187,1,0.001,1024,128,1.48342657089233
188,1,0.001,1024,64,0.239365339279175
189,1,0.001,1024,128,2.7446653842926
190,1,0.001,1024,64,0.81078290939331
191,1,0.001,1024,128,0.939527988433838
192,1,0.001,1024,64,1.58665060997009
193,1,0.001,1024,128,1.46261239051819
194,1,0.001,1024,64,1.04860854148865
195,1,0.001,1024,128,1.3456175327301
196,1,0.001,1024,64,0.754552125930786
197,1,0.001,1024,128,0.675710916519165
198,1,0.001,1024,64,1.01807355880737
199,1,0.001,1024,128,1.89102983474731
200,1,0.001,1024,64,1.00866842269897
201,1,0.001,1024,128,1.49297142028809
202,1,0.001,1024,64,1.42090034484863
203,1,0.001,1024,32,0.750761032104492
204,1,0.001,1024,128,1.72891020774841
205,1,0.001,1024,64,2.04383087158203
206,1,0.001,1024,32,1.39687514305115
207,1,0.001,1024,16,0.833324670791626
208,1,0.001,1024,128,0.551295042037964
209,1,0.001,1024,64,1.57766079902649
210,1,0.001,1024,32,0.837650299072266
211,1,0.001,1024,128,1.09016633033752
212,1,0.001,1024,64,1.85398769378662
213,1,0.001,1024,128,0.373131990432739
214,1,0.001,1024,64,1.4085156917572
215,1,0.001,1024,32,0.669404268264771
216,1,0.001,1024,16,0.211239099502563
217,1,0.001,1024,128,2.52680969238281
218,1,0.001,1024,64,1.29924082756042
219,1,0.001,1024,32,0.835540533065796
220,1,0.001,1024,16,0.690627098083496
221,1,0.001,1024,8,0.405091285705566
222,1,0.001,1024,128,0.380359888076782
223,1,0.001,1024,64,1.17992353439331
224,1,0.001,1024,128,0.450432777404785
225,1,0.001,1024,64,0.855028629302979
226,1,0.001,1024,32,1.4588942527771
227,1,0.001,1024,16,0.411729574203491
228,1,0.001,1024,128,1.58541369438171
229,1,0.001,1024,64,1.3528254032135
230,1,0.001,1024,32,0.866499900817871
231,1,0.001,1024,16,0.373264312744141
232,1,0.001,1024,8,0.3547682762146
233,1,0.001,1024,128,0.34451699256897
234,1,0.001,1024,64,0.742857694625855
235,1,0.001,1024,32,0.561668157577515
236,1,0.001,1024,128,0.686845779418945
237,1,0.001,1024,64,1.28489923477173
238,1,0.001,1024,128,1.12469100952148
239,1,0.001,1024,64,1.79562997817993
240,1,0.001,1024,32,1.06922650337219
241,1,0.001,1024,16,0.550251245498657
242,1,0.001,1024,128,1.80972528457642
243,1,0.001,1024,64,1.25251507759094
244,1,0.001,1024,32,2.5494019985199
245,1,0.001,1024,16,0.395501852035522
246,1,0.001,1024,8,0.340069055557251
247,1,0.001,1024,128,0.371672630310059
248,1,0.001,1024,64,1.84263443946838
249,1,0.001,1024,32,0.612972974777222
250,1,0.001,1024,16,0.218032360076904
251,1,0.001,1024,128,1.96020269393921
252,1,0.001,1024,64,1.27668738365173
253,1,0.001,1024,32,0.713600635528564
254,1,0.001,1024,16,0.30940580368042
255,1,0.001,1024,8,0.354842185974121
256,1,0.001,1024,128,0.336342334747314
257,1,0.001,1024,64,1.83354020118713
258,1,0.001,1024,32,0.558508157730103
259,1,0.001,1024,16,0.259804725646973
260,1,0.001,1024,128,1.74825263023376
261,1,0.001,1024,64,1.35735583305359
262,1,0.001,1024,32,0.704508543014526
263,1,0.001,1024,16,0.48173451423645
264,1,0.001,1024,128,1.16481614112854
265,1,0.001,1024,64,1.89836406707764
266,1,0.001,1024,32,2.10137820243835
267,1,0.001,1024,16,0.594507694244385
268,1,0.001,1024,8,0.323302745819092
269,1,0.001,1024,128,0.348474025726318
270,1,0.001,1024,64,1.85997724533081
271,1,0.001,1024,32,0.637524843215942
272,1,0.001,1024,16,0.229897260665893
273,1,0.001,1024,8,0.188217639923096
274,1,0.001,1024,128,0.651985168457031
275,1,0.001,1024,64,1.38596749305725
276,1,0.001,1024,32,1.04451107978821
277,1,0.001,1024,16,0.438018798828125
278,1,0.001,1024,8,0.346454381942749
279,1,0.001,1024,128,0.308295965194702
280,1,0.001,1024,64,1.17795538902283
281,1,0.001,1024,32,0.534240484237671
282,1,0.001,1024,16,0.393770694732666
283,1,0.001,1024,128,0.972541332244873
284,1,0.001,1024,64,1.11603426933289
285,1,0.001,1024,32,1.07870101928711
286,1,0.001,1024,16,0.618168830871582
287,1,0.001,1024,8,0.409169435501099
288,1,0.001,1024,128,0.352819204330444
289,1,0.001,1024,64,1.42421245574951
290,1,0.001,1024,32,0.681198596954346
291,1,0.001,1024,16,0.382359504699707
292,1,0.001,1024,8,0.278266191482544
293,1,0.001,1024,128,0.597053289413452
294,1,0.001,1024,64,0.568932294845581
295,1,0.001,1024,32,0.660682916641235
296,1,0.001,1024,16,0.366739749908447
297,1,0.001,1024,8,0.36125373840332
298,1,0.001,1024,4,0.249898195266724
299,1,0.001,1024,128,0.309840440750122
300,1,0.001,1024,64,1.94189667701721
301,1,0.001,1024,32,0.564666509628296
302,1,0.001,1024,16,0.264516830444336
303,1,0.001,1024,8,0.175926685333252
304,1,0.001,1024,128,0.967942476272583
305,1,0.001,1024,64,7.66254901885986
306,1,0.001,1024,32,0.603507041931152
307,1,0.001,1024,16,0.508649110794067
308,1,0.001,1024,8,0.276494979858398
309,1,0.001,1024,128,0.947756052017212
310,1,0.001,1024,64,1.67903161048889
311,1,0.001,1024,32,0.819182634353638
312,1,0.001,1024,16,0.437551259994507
313,1,0.001,1024,8,0.27372145652771
314,1,0.001,1024,4,0.222316026687622
315,1,0.001,1024,128,0.294856071472168
316,1,0.001,1024,64,7.24052476882935
317,1,0.001,1024,32,0.628528833389282
318,1,0.001,1024,16,0.211055994033813
319,1,0.001,1024,8,0.242917537689209
320,1,0.001,1024,4,0.240940570831299
321,1,0.001,1024,128,0.675815582275391
322,1,0.001,1024,64,0.380073070526123
323,1,0.001,1024,32,0.943256855010986
324,1,0.001,1024,16,0.343035697937012
325,1,0.001,1024,8,0.274474143981934
326,1,0.001,1024,4,0.266190052032471
327,1,0.001,1024,128,0.273394346237183
328,1,0.001,1024,64,7.81606674194336
329,1,0.001,1024,32,0.692422389984131
330,1,0.001,1024,16,0.209190130233765
331,1,0.001,1024,8,0.276274919509888
332,1,0.001,1024,128,0.868404865264893
333,1,0.001,1024,64,10.4410452842712
334,1,0.001,1024,32,1.27526473999023
335,1,0.001,1024,16,0.545785188674927
336,1,0.001,1024,8,0.277165412902832
337,1,0.001,1024,128,0.249338150024414
338,1,0.001,1024,64,8.6689555644989
339,1,0.001,1024,32,0.72950291633606
340,1,0.001,1024,16,0.397440433502197
341,1,0.001,1024,8,0.276435852050781
342,1,0.001,1024,128,1.07991480827332
343,1,0.001,1024,64,9.08949732780456
344,1,0.001,1024,32,0.881606578826904
345,1,0.001,1024,16,0.41579794883728
346,1,0.001,1024,8,0.307874917984009
347,1,0.001,1024,4,0.307029247283935
348,1,0.001,1024,128,0.429812908172607
