Inst,alpha,N,Delta,time
newinstances/instance0_0.npz,"1,00E-07",256,32,0.02857518196105957
newinstances/instance0_1.npz,"1,00E-07",256,16,0.01649951934814453
newinstances/instance0_10.npz,"1,00E-07",256,32,0.011510372161865234
newinstances/instance0_10100.npz,"1,00E-06",1024,128,0.11884689331054688
newinstances/instance0_10101.npz,"1,00E-06",1024,64,0.0372617244720459
newinstances/instance0_10102.npz,"1,00E-06",1024,128,0.04661893844604492
newinstances/instance0_10103.npz,"1,00E-06",1024,64,0.039055585861206055
newinstances/instance0_10104.npz,"1,00E-06",1024,32,0.04897761344909668
newinstances/instance0_10105.npz,"1,00E-06",1024,16,0.1138010025024414
newinstances/instance0_10106.npz,"1,00E-06",1024,8,0.0359799861907959
newinstances/instance0_10107.npz,"1,00E-06",1024,4,0.03579354286193848
newinstances/instance0_10108.npz,"1,00E-06",1024,2,0.036902427673339844
newinstances/instance0_10109.npz,"1,00E-06",1024,1,0.18552327156066895
newinstances/instance0_10110.npz,"1,00E-06",1024,0,0.0136871337890625
newinstances/instance0_11.npz,"1,00E-07",256,16,0.022584199905395508
newinstances/instance0_11391.npz,9.999999999999999e-06,1024,128,0.1217195987701416
newinstances/instance0_11392.npz,9.999999999999999e-06,1024,64,0.04019427299499512
newinstances/instance0_11393.npz,9.999999999999999e-06,1024,128,0.04785442352294922
newinstances/instance0_11394.npz,9.999999999999999e-06,1024,64,0.04529452323913574
newinstances/instance0_11395.npz,9.999999999999999e-06,1024,128,0.8113629817962646
newinstances/instance0_11396.npz,9.999999999999999e-06,1024,64,0.10547614097595215
newinstances/instance0_11397.npz,9.999999999999999e-06,1024,32,0.10990405082702637
newinstances/instance0_11398.npz,9.999999999999999e-06,1024,16,0.10712671279907227
newinstances/instance0_11399.npz,9.999999999999999e-06,1024,8,0.8653390407562256
newinstances/instance0_11400.npz,9.999999999999999e-06,1024,128,3.9176809787750244
newinstances/instance0_11401.npz,9.999999999999999e-06,1024,64,0.10023808479309082
newinstances/instance0_11402.npz,9.999999999999999e-06,1024,32,0.10376811027526855
newinstances/instance0_11403.npz,9.999999999999999e-06,1024,16,0.10998106002807617
newinstances/instance0_11404.npz,9.999999999999999e-06,1024,8,0.5508019924163818
newinstances/instance0_11405.npz,9.999999999999999e-06,1024,4,0.05429196357727051
newinstances/instance0_11406.npz,9.999999999999999e-06,1024,128,0.07625913619995117
newinstances/instance0_11407.npz,9.999999999999999e-06,1024,64,0.9296696186065674
newinstances/instance0_11408.npz,9.999999999999999e-06,1024,32,0.04803919792175293
newinstances/instance0_11409.npz,9.999999999999999e-06,1024,16,0.10026073455810547
newinstances/instance0_11410.npz,9.999999999999999e-06,1024,8,0.21058130264282227
newinstances/instance0_11411.npz,9.999999999999999e-06,1024,4,0.055742740631103516
newinstances/instance0_11412.npz,9.999999999999999e-06,1024,128,0.2561776638031006
newinstances/instance0_11413.npz,9.999999999999999e-06,1024,64,0.12398481369018555
newinstances/instance0_11414.npz,9.999999999999999e-06,1024,32,0.3558361530303955
newinstances/instance0_11415.npz,9.999999999999999e-06,1024,16,0.1113121509552002
newinstances/instance0_11416.npz,9.999999999999999e-06,1024,8,0.07584810256958008
newinstances/instance0_11417.npz,9.999999999999999e-06,1024,4,0.11243462562561035
newinstances/instance0_11418.npz,9.999999999999999e-06,1024,128,0.21241545677185059
newinstances/instance0_11419.npz,9.999999999999999e-06,1024,64,0.04266214370727539
newinstances/instance0_11420.npz,9.999999999999999e-06,1024,32,0.3352985382080078
newinstances/instance0_11421.npz,9.999999999999999e-06,1024,16,0.11063647270202637
newinstances/instance0_11422.npz,9.999999999999999e-06,1024,8,0.07769107818603516
newinstances/instance0_11423.npz,9.999999999999999e-06,1024,4,0.11190056800842285
newinstances/instance0_11424.npz,9.999999999999999e-06,1024,128,0.1628272533416748
newinstances/instance0_11425.npz,9.999999999999999e-06,1024,64,0.13949322700500488
newinstances/instance0_11426.npz,9.999999999999999e-06,1024,32,0.09746742248535156
newinstances/instance0_11427.npz,9.999999999999999e-06,1024,16,0.1182255744934082
newinstances/instance0_11428.npz,9.999999999999999e-06,1024,8,0.05479741096496582
newinstances/instance0_11429.npz,9.999999999999999e-06,1024,4,0.10303521156311035
newinstances/instance0_11430.npz,9.999999999999999e-06,1024,2,0.05339384078979492
newinstances/instance0_11431.npz,9.999999999999999e-06,1024,128,0.12900996208190918
newinstances/instance0_11432.npz,9.999999999999999e-06,1024,64,0.04347801208496094
newinstances/instance0_11433.npz,9.999999999999999e-06,1024,32,0.03661346435546875
newinstances/instance0_11434.npz,9.999999999999999e-06,1024,16,0.10341644287109375
newinstances/instance0_11435.npz,9.999999999999999e-06,1024,8,0.2257215976715088
newinstances/instance0_11436.npz,9.999999999999999e-06,1024,128,0.13033199310302734
newinstances/instance0_11437.npz,9.999999999999999e-06,1024,64,0.1612226963043213
newinstances/instance0_11438.npz,9.999999999999999e-06,1024,32,0.45467305183410645
newinstances/instance0_11439.npz,9.999999999999999e-06,1024,16,0.03976702690124512
newinstances/instance0_11440.npz,9.999999999999999e-06,1024,8,0.19191455841064453
newinstances/instance0_11441.npz,9.999999999999999e-06,1024,128,0.7526922225952148
newinstances/instance0_11442.npz,9.999999999999999e-06,1024,64,0.041535139083862305
newinstances/instance0_11443.npz,9.999999999999999e-06,1024,32,0.08828139305114746
newinstances/instance0_11444.npz,9.999999999999999e-06,1024,16,3.18196177482605
newinstances/instance0_11445.npz,9.999999999999999e-06,1024,8,0.17240452766418457
newinstances/instance0_11446.npz,9.999999999999999e-06,1024,4,0.09260869026184082
newinstances/instance0_11447.npz,9.999999999999999e-06,1024,2,0.1848001480102539
