ID,startval,alpha,N,Delta,time
2504,1,1.00E-07,8192,16,5.44005227088928
2563,1,1.00E-07,8192,2,0.435131311416626
2853,1,1.00E-07,8192,128,14.5522873401642
3138,1,1.00E-06,8192,256,32.2010591030121
3259,1,1.00E-06,8192,128,23.0847401618958
3569,1,1.00E-06,8192,4,4.10337972640991
3826,1,1.00E-05,8192,1024,887.828652858734
3952,1,1.00E-05,8192,512,7.84891223907471
4228,1,1.00E-05,8192,4,6.29105281829834
4404,1,0.0001,8192,64,33.9277386665344
4436,1,0.0001,8192,1024,132.345488548279
4638,1,0.0001,8192,2,2.45246338844299
4643,1,0.0001,8192,64,3.73027539253235
4837,1,0.001,8192,1024,2.83562111854553
4947,1,0.001,8192,1024,5.00029039382935
4996,1,0.001,8192,1024,3.08916044235229
5036,1,0.001,8192,64,1.5215425491333
5098,1,0.001,8192,64,1.50173473358154
5127,1,0.001,8192,16,1.55446171760559
12561,3,1.00E-07,8192,1024,142.526864528656
12773,3,1.00E-07,8192,512,0.446166276931763
12830,3,1.00E-07,8192,128,12.9229578971863
12862,3,1.00E-07,8192,128,8.71353888511658
13149,3,1.00E-07,8192,1024,9.62318134307861
13269,3,1.00E-07,8192,512,0.436814069747925
13722,3,1.00E-07,8192,16,11.7683401107788
13902,3,1.00E-07,8192,512,20.3493978977203
14098,3,1.00E-07,8192,128,7.79004597663879
14110,3,1.00E-07,8192,64,0.476119041442871
14176,3,1.00E-07,8192,512,0.434909343719482
14570,3,1.00E-06,8192,512,18.3862192630768
14799,3,1.00E-06,8192,32,285.872903108597
15020,3,1.00E-06,8192,128,582.330501794815
15412,3,1.00E-05,8192,128,55.5803232192993
16108,3,0.0001,8192,32,34.088082075119
16293,3,0.001,8192,1024,35.5796828269958
16647,3,0.001,8192,32,5.68094420433044
16670,3,0.001,8192,32,5.74609780311585
26809,2,1.00E-07,8192,1024,4.03393936157227
27006,2,1.00E-07,8192,512,35.2421724796295
27053,2,1.00E-07,8192,128,62.2237639427185
27076,2,1.00E-07,8192,1024,225.473114490509
27588,2,1.00E-07,8192,512,15.4860053062439
27608,2,1.00E-07,8192,32,5.43791484832764
27710,2,1.00E-07,8192,1024,0.479437112808228
27861,2,1.00E-07,8192,256,13.1653022766113
28013,2,1.00E-07,8192,128,14.9363806247711
28027,2,1.00E-07,8192,512,0.447765588760376
28049,2,1.00E-07,8192,16,5.15811800956726
28415,2,1.00E-07,8192,8,10.5694189071655
