ID,startval,alpha,N,Delta,time
10266,3,1.00E-07,4096,512,14.5487899780273
10613,3,1.00E-07,4096,512,0.204452991485596
10662,3,1.00E-07,4096,512,2.25313496589661
10784,3,1.00E-07,4096,512,0.217642068862915
11361,3,1.00E-06,4096,512,1021.14683961868
11367,3,1.00E-06,4096,512,113.883320093155
11374,3,1.00E-06,4096,512,125.885206699371
11382,3,1.00E-06,4096,512,95.0029454231262
11388,3,1.00E-06,4096,512,79.5848042964935
11396,3,1.00E-06,4096,512,111.850849628449
11402,3,1.00E-06,4096,512,119.815686225891
11410,3,1.00E-06,4096,512,153.159314155579
11418,3,1.00E-06,4096,512,151.006088256836
11426,3,1.00E-06,4096,512,84.4611184597015
11433,3,1.00E-06,4096,512,191.00177526474
11441,3,1.00E-06,4096,512,105.336343288422
11449,3,1.00E-06,4096,512,247.522670984268
11457,3,1.00E-06,4096,512,73.3828113079071
11467,3,1.00E-06,4096,512,132.798547267914
11477,3,1.00E-06,4096,512,505.79355096817
11486,3,1.00E-06,4096,512,91.3546619415283
11495,3,1.00E-06,4096,512,382.41552734375
11506,3,1.00E-06,4096,512,84.9310920238495
11795,3,1.00E-05,4096,512,384.141046047211
11801,3,1.00E-05,4096,512,161.711385726929
11806,3,1.00E-05,4096,512,156.966149568558
11814,3,1.00E-05,4096,512,219.943748950958
11822,3,1.00E-05,4096,512,452.533386230469
11829,3,1.00E-05,4096,512,164.952862024307
11837,3,1.00E-05,4096,512,197.695327997208
11846,3,1.00E-05,4096,512,200.033419132233
11856,3,1.00E-05,4096,512,184.225525379181
11866,3,1.00E-05,4096,512,141.257894515991
24208,2,1.00E-07,4096,512,5.34845781326294
24388,2,1.00E-07,4096,512,0.212539672851562
24399,2,1.00E-07,4096,512,0.21325159072876
24572,2,1.00E-07,4096,512,26.3913543224335
24711,2,1.00E-07,4096,512,4.35202574729919
24738,2,1.00E-07,4096,512,38.668167591095
25014,2,1.00E-07,4096,512,29.4764728546143
25051,2,1.00E-07,4096,512,4.87549757957459
25196,2,1.00E-07,4096,512,10.6609737873077
25226,2,1.00E-07,4096,512,20.7748839855194
25309,2,1.00E-07,4096,512,46.287739276886
25950,2,1.00E-07,4096,512,19.1593203544617
26071,2,1.00E-07,4096,512,18.8198437690735
26099,2,1.00E-07,4096,512,2.8683078289032
26129,2,1.00E-07,4096,512,18.0594656467438
26157,2,1.00E-07,4096,512,20.6697790622711
26187,2,1.00E-07,4096,512,3.61954808235168
