N,alpha,Slip1,Slip2,Slip3,SlipSur,Sur,BFGS (alpha=0)
512,1.00E-07,0.095681073618326,0.107122350674561,0.09934130935471,0.095680615497719,0.095705327811915,0.095659175720641
512,1.00E-06,0.09582048426221,0.113962665592172,0.106641401032803,0.095848275430776,0.095896127811915,0.095659175720641
512,1.00E-05,0.096170749612437,0.525500174690345,0.188876971978779,0.096269764171446,0.097804127811915,0.095659175720641
512,0.0001,0.100944087942109,0.525500174690345,0.19163767685158,0.100850749612437,0.116884127811915,0.095659175720641
512,0.001,0.138638392973788,0.525500174690345,0.213284153804395,0.137069393282232,0.307684127811915,0.095659175720641
1024,1.00E-07,0.095625610091967,0.100345126642459,0.095799792527491,0.09564251769068,0.095659778941818,0.095595337149188
1024,1.00E-06,0.095842367116696,0.145090482893882,0.150396983562091,0.095869681961314,0.096030578941818,0.095595337149188
1024,1.00E-05,0.09669596109421,0.525499654246363,0.211977162734523,0.096150949056593,0.099738578941818,0.095595337149188
1024,0.0001,0.101079489848554,0.525499654246363,0.191204041850259,0.100837588653699,0.136818578941818,0.095595337149188
1024,0.001,0.137483699921167,0.525499654246363,0.213133281818457,0.136482401231763,0.507618578941819,0.095595337149188
2048,1.00E-07,0.095547618367546,0.097563178796981,0.097406563403733,0.095591898520404,0.095722117142094,0.095533043324797
2048,1.00E-06,0.096526315020171,0.264723679552817,0.188444832958325,0.095860152193674,0.096323317142094,0.095533043324797
2048,1.00E-05,0.099712315020171,0.525678085354567,0.188679240737171,0.096442735346849,0.102335317142094,0.095533043324797
2048,0.0001,0.100779500076099,0.525678085354567,0.191934230221369,0.101020804915863,0.162455317142094,0.095533043324797
2048,0.001,0.136648578060118,0.525678085354567,0.212948064245009,0.136996162062522,0.763655317142094,0.095533043324797
4096,1.00E-07,0.095574586810636,0.10855695731084,0.102243772785854,0.095551490461247,0.095663078380863,0.095545332675213
4096,1.00E-06,0.095605421980477,0.521441754925212,0.188444077990903,0.095627917353288,0.096533378380863,0.095545332675213
4096,1.00E-05,0.096205445557769,0.525678051701674,0.188678077990903,0.096123472950043,0.105236378380863,0.095545332675213
4096,0.0001,0.101020362160914,0.525678051701674,0.191440549952556,0.100774547347876,0.192266378380863,0.095545332675213
4096,0.001,0.136993284035376,0.525678051701674,0.21349916001028,0.136995587643257,1.06256637838086,0.095545332675213
8192,1.00E-07,0.095577311390696,0.134115435006266,0.123898050879542,0.095559465180344,0.095697853110571,0.095543382885284
8192,1.00E-06,0.095609505090125,0.525633094118519,0.189603213182912,0.095638801936449,0.097028953110571,0.095543382885284
8192,1.00E-05,0.096108485663293,0.525633094118519,0.188723643866251,0.096108096336558,0.110339953110571,0.095543382885284
8192,0.0001,0.100788050826812,0.525633094118519,0.191063643866251,0.100788107848597,0.243449953110571,0.095543382885284
8192,0.001,0.138490469868955,0.525633094118519,0.213053418160084,0.137436916036204,1.57454995311057,0.095543382885284
