ID,startval,alpha,N,Delta,time
0,1,1.00E-07,256,32,0.00648
1,1,1.00E-07,256,16,0.00176
2,1,1.00E-07,256,32,0.00649
3,1,1.00E-06,1024,128,0.20014
4,1,1.00E-06,1024,64,0.08169
5,1,1.00E-06,1024,128,0.20067
6,1,1.00E-06,1024,64,0.0822
7,1,1.00E-06,1024,32,0.02648
8,1,1.00E-06,1024,16,0.00682
9,1,1.00E-06,1024,8,0.0021
10,1,1.00E-06,1024,4,0.00085
11,1,1.00E-06,1024,2,0.00046
12,1,1.00E-06,1024,1,0.00032
13,1,1.00E-06,1024,0,0.00021
14,1,1.00E-07,256,16,0.00173
15,1,1.00E-05,1024,128,0.19999
16,1,1.00E-05,1024,64,0.08174
17,1,1.00E-05,1024,128,0.20007
18,1,1.00E-05,1024,64,0.08201
19,1,1.00E-05,1024,128,0.20089
20,1,1.00E-05,1024,64,0.08178
21,1,1.00E-05,1024,32,0.02579
22,1,1.00E-05,1024,16,0.00675
23,1,1.00E-05,1024,8,0.00214
24,1,1.00E-05,1024,128,0.20043
25,1,1.00E-05,1024,64,0.0817
26,1,1.00E-05,1024,32,0.02582
27,1,1.00E-05,1024,16,0.00672
28,1,1.00E-05,1024,8,0.00214
29,1,1.00E-05,1024,4,0.00087
30,1,1.00E-05,1024,128,0.2006
31,1,1.00E-05,1024,64,0.082
32,1,1.00E-05,1024,32,0.0258
33,1,1.00E-05,1024,16,0.00681
34,1,1.00E-05,1024,8,0.0022
35,1,1.00E-05,1024,4,0.00086
36,1,1.00E-05,1024,128,0.20093
37,1,1.00E-05,1024,64,0.08214
38,1,1.00E-05,1024,32,0.02602
39,1,1.00E-05,1024,16,0.00678
40,1,1.00E-05,1024,8,0.00211
41,1,1.00E-05,1024,4,0.00087
42,1,1.00E-05,1024,128,0.20098
43,1,1.00E-05,1024,64,0.08212
44,1,1.00E-05,1024,32,0.02593
45,1,1.00E-05,1024,16,0.00677
46,1,1.00E-05,1024,8,0.00211
47,1,1.00E-05,1024,4,0.00086
48,1,1.00E-05,1024,128,0.20082
49,1,1.00E-05,1024,64,0.08208
50,1,1.00E-05,1024,32,0.02594
51,1,1.00E-05,1024,16,0.00674
52,1,1.00E-05,1024,8,0.00209
53,1,1.00E-05,1024,4,0.00085
54,1,1.00E-05,1024,2,0.00046
55,1,1.00E-05,1024,128,0.20129
56,1,1.00E-05,1024,64,0.08214
57,1,1.00E-05,1024,32,0.02601
58,1,1.00E-05,1024,16,0.00679
59,1,1.00E-05,1024,8,0.00222
60,1,1.00E-05,1024,128,0.20098
61,1,1.00E-05,1024,64,0.08218
62,1,1.00E-05,1024,32,0.02601
63,1,1.00E-05,1024,16,0.00682
64,1,1.00E-05,1024,8,0.0022
65,1,1.00E-05,1024,128,0.19964
66,1,1.00E-05,1024,64,0.08181
67,1,1.00E-05,1024,32,0.0302
68,1,1.00E-05,1024,16,0.00684
69,1,1.00E-05,1024,8,0.00236
70,1,1.00E-05,1024,4,0.00086
71,1,1.00E-05,1024,2,0.00047
72,1,1.00E-05,1024,128,0.19602
73,1,1.00E-05,1024,64,0.08086
74,1,1.00E-05,1024,32,0.02562
75,1,1.00E-05,1024,16,0.00676
76,1,1.00E-05,1024,8,0.0022
77,1,1.00E-05,1024,4,0.00087
78,1,1.00E-05,1024,2,0.00047
79,1,1.00E-05,1024,128,0.20018
80,1,1.00E-05,1024,64,0.08203
81,1,1.00E-05,1024,32,0.02586
82,1,1.00E-05,1024,16,0.00675
83,1,1.00E-05,1024,8,0.00209
84,1,1.00E-05,1024,4,0.00086
85,1,1.00E-05,1024,2,0.00046
86,1,1.00E-05,1024,1,0.00032
87,1,1.00E-05,1024,128,0.19609
88,1,1.00E-05,1024,64,0.08045
89,1,1.00E-05,1024,32,0.02549
90,1,1.00E-05,1024,16,0.00672
91,1,1.00E-05,1024,8,0.00205
92,1,1.00E-05,1024,4,0.00084
93,1,1.00E-05,1024,2,0.00046
94,1,1.00E-05,1024,1,0.00032
95,1,1.00E-05,1024,128,0.20008
96,1,1.00E-05,1024,64,0.08163
97,1,1.00E-05,1024,32,0.02587
98,1,1.00E-05,1024,16,0.00685
99,1,1.00E-05,1024,8,0.00212
100,1,1.00E-05,1024,4,0.00088
101,1,1.00E-05,1024,2,0.00046
102,1,1.00E-05,1024,1,0.00032
103,1,1.00E-05,1024,128,0.19677
104,1,1.00E-05,1024,64,0.08064
105,1,1.00E-05,1024,32,0.02563
106,1,1.00E-05,1024,16,0.00676
107,1,1.00E-05,1024,8,0.00206
108,1,1.00E-05,1024,4,0.00088
109,1,1.00E-05,1024,2,0.00046
110,1,1.00E-05,1024,1,0.00032
111,1,1.00E-05,1024,128,0.19996
112,1,1.00E-05,1024,64,0.08182
113,1,1.00E-05,1024,32,0.02589
114,1,1.00E-05,1024,16,0.00675
115,1,1.00E-05,1024,8,0.0021
116,1,1.00E-05,1024,4,0.00084
117,1,1.00E-05,1024,2,0.00046
118,1,1.00E-05,1024,1,0.00034
119,1,1.00E-05,1024,0,0.00021
120,1,0.0001,1024,128,0.19957
121,1,0.0001,1024,128,0.20125
122,1,0.0001,1024,64,0.0819
123,1,0.0001,1024,32,0.02578
124,1,0.0001,1024,128,0.20178
125,1,0.0001,1024,64,0.08202
126,1,0.0001,1024,32,0.02569
127,1,0.0001,1024,16,0.00671
128,1,0.0001,1024,8,0.00214
129,1,0.0001,1024,4,0.00083
130,1,0.0001,1024,2,0.00045
131,1,0.0001,1024,128,0.20176
132,1,0.0001,1024,128,0.20194
133,1,0.0001,1024,128,0.20199
134,1,0.0001,1024,128,0.19601
135,1,0.0001,1024,64,0.08069
