Name,alpha,N,Delta,time
newinstances_updated/instance12/instance12_17600_4096_3.npz,9.999999999999999e-05,4096,512,56.01466178894043
newinstances_updated/instance12/instance12_17590_4096_3.npz,9.999999999999999e-05,4096,512,75.90803623199463
newinstances_updated/instance12/instance12_17581_4096_3.npz,9.999999999999999e-05,4096,512,58.87091851234436
newinstances_updated/instance12/instance12_17391_4096_3.npz,9.999999999999999e-05,4096,512,149.2779185771942
newinstances_updated/instance12/instance12_17324_4096_3.npz,9.999999999999999e-05,4096,512,96.60003304481506
newinstances_updated/instance12/instance12_17437_4096_3.npz,9.999999999999999e-05,4096,512,84.47592735290527
newinstances_updated/instance12/instance12_17545_4096_3.npz,9.999999999999999e-05,4096,512,317.79469656944275
newinstances_updated/instance12/instance12_17455_4096_3.npz,9.999999999999999e-05,4096,512,106.6035623550415
newinstances_updated/instance12/instance12_17268_4096_3.npz,9.999999999999999e-05,4096,512,88.15033388137817
newinstances_updated/instance12/instance12_17491_4096_3.npz,9.999999999999999e-05,4096,512,64.72920966148376
newinstances_updated/instance12/instance12_17419_4096_3.npz,9.999999999999999e-05,4096,512,184.278240442276
newinstances_updated/instance12/instance12_17509_4096_3.npz,9.999999999999999e-05,4096,512,255.207759141922
newinstances_updated/instance12/instance12_17292_4096_3.npz,9.999999999999999e-05,4096,512,101.16358208656311
newinstances_updated/instance12/instance12_17527_4096_3.npz,9.999999999999999e-05,4096,512,49.767993211746216
newinstances_updated/instance12/instance12_17401_4096_3.npz,9.999999999999999e-05,4096,512,131.14349365234375
newinstances_updated/instance12/instance12_17339_4096_3.npz,9.999999999999999e-05,4096,512,66.84346103668213
newinstances_updated/instance12/instance12_17473_4096_3.npz,9.999999999999999e-05,4096,512,290.22214460372925
newinstances_updated/instance12/instance12_17563_4096_3.npz,9.999999999999999e-05,4096,512,67.2957661151886
newinstances_updated/instance12/instance12_17381_4096_3.npz,9.999999999999999e-05,4096,512,83.29218912124634
newinstances_updated/instance12/instance12_17300_4096_3.npz,9.999999999999999e-05,4096,512,328.85821175575256
newinstances_updated/instance12/instance12_17363_4096_3.npz,9.999999999999999e-05,4096,512,73.58229947090149
newinstances_updated/instance12/instance12_17275_4096_3.npz,9.999999999999999e-05,4096,512,77.72994637489319
