Name,alpha,N,Delta,time
newinstances_updated/instance16/instance16_7754_4096_0.npz,"1,00E-07",4096,128,1.251389503479004
newinstances_updated/instance16/instance16_8527_4096_0.npz,"1,00E-07",4096,16,15.766055345535278
newinstances_updated/instance11/instance11_7101_4096_0.npz,"1,00E-07",4096,256,11.944645643234253
newinstances_updated/instance19/instance19_23624_4096_1.npz,"1,00E-06",4096,512,1.4442930221557617
newinstances_updated/instance16/instance16_14598_4096_2.npz,9.999999999999999e-06,4096,64,16.959956884384155
newinstances_updated/instance17/instance17_14801_4096_1.npz,"1,00E-06",4096,4,3.3372507095336914
newinstances_updated/instance16/instance16_13609_4096_1.npz,"1,00E-06",4096,256,10.922250986099243
newinstances_updated/instance12/instance12_12156_4096_0.npz,"1,00E-07",4096,64,0.5001029968261719
newinstances_updated/instance13/instance13_13130_4096_0.npz,"1,00E-07",4096,32,13.70710039138794
newinstances_updated/instance17/instance17_17277_4096_3.npz,9.999999999999999e-05,4096,512,3.117191791534424
newinstances_updated/instance14/instance14_8813_4096_0.npz,"1,00E-07",4096,512,1.267500877380371
newinstances_updated/instance14/instance14_9586_4096_0.npz,"1,00E-07",4096,8,5.915976524353027
newinstances_updated/instance19/instance19_28578_4096_3.npz,9.999999999999999e-05,4096,512,10.79500412940979
newinstances_updated/instance19/instance19_17357_4096_0.npz,"1,00E-07",4096,32,44.16102194786072
newinstances_updated/instance19/instance19_14247_4096_0.npz,"1,00E-07",4096,8,2.9977333545684814
newinstances_updated/instance17/instance17_12232_4096_0.npz,"1,00E-07",4096,256,3.2447896003723145
newinstances_updated/instance12/instance12_10406_4096_0.npz,"1,00E-07",4096,16,0.4654977321624756
newinstances_updated/instance18/instance18_19673_4096_2.npz,9.999999999999999e-06,4096,64,59.10961055755615
newinstances_updated/instance18/instance18_9378_4096_0.npz,"1,00E-07",4096,256,0.42550158500671387
newinstances_updated/instance19/instance19_19373_4096_0.npz,"1,00E-07",4096,32,307.4801344871521
newinstances_updated/instance10/instance10_9746_4096_1.npz,"1,00E-06",4096,256,2.1033217906951904
newinstances_updated/instance14/instance14_12593_4096_1.npz,"1,00E-06",4096,8,17.994835138320923
newinstances_updated/instance16/instance16_15384_4096_2.npz,9.999999999999999e-06,4096,64,26.400533437728882
newinstances_updated/instance11/instance11_9246_4096_1.npz,"1,00E-06",4096,32,46.05824542045593
newinstances_updated/instance19/instance19_25323_4096_1.npz,"1,00E-06",4096,2,2.9242496490478516
newinstances_updated/instance17/instance17_14755_4096_1.npz,"1,00E-06",4096,256,71.58695483207703
newinstances_updated/instance15/instance15_10214_4096_2.npz,9.999999999999999e-06,4096,8,14.31991696357727
newinstances_updated/instance19/instance19_15522_4096_0.npz,"1,00E-07",4096,512,0.4571232795715332
newinstances_updated/instance19/instance19_26684_4096_1.npz,"1,00E-06",4096,64,23.892778873443604
newinstances_updated/instance16/instance16_13764_4096_1.npz,"1,00E-06",4096,128,14.31142807006836
newinstances_updated/instance17/instance17_16845_4096_2.npz,9.999999999999999e-06,4096,512,123.0136330127716
newinstances_updated/instance19/instance19_26151_4096_1.npz,"1,00E-06",4096,4,3.8131985664367676
newinstances_updated/instance13/instance13_11262_4096_0.npz,"1,00E-07",4096,128,0.8019816875457764
newinstances_updated/instance19/instance19_26381_4096_1.npz,"1,00E-06",4096,2,4.144819259643555
newinstances_updated/instance14/instance14_10895_4096_1.npz,"1,00E-06",4096,16,2.3266913890838623
newinstances_updated/instance16/instance16_11620_4096_1.npz,"1,00E-06",4096,256,24.906136751174927
newinstances_updated/instance15/instance15_5969_4096_0.npz,"1,00E-07",4096,512,1.0959103107452393
newinstances_updated/instance16/instance16_14748_4096_2.npz,9.999999999999999e-06,4096,32,18.272753477096558
newinstances_updated/instance18/instance18_10412_4096_0.npz,"1,00E-07",4096,128,2.7802693843841553
newinstances_updated/instance19/instance19_23757_4096_1.npz,"1,00E-06",4096,16,107.408451795578
newinstances_updated/instance18/instance18_14969_4096_1.npz,"1,00E-06",4096,512,1.9417750835418701
newinstances_updated/instance18/instance18_15645_4096_1.npz,"1,00E-06",4096,32,5.2602503299713135
newinstances_updated/instance18/instance18_20647_4096_3.npz,9.999999999999999e-05,4096,4,8.444056510925293
newinstances_updated/instance19/instance19_15915_4096_0.npz,"1,00E-07",4096,8,40.12342548370361
newinstances_updated/instance14/instance14_11246_4096_1.npz,"1,00E-06",4096,512,0.5989952087402344
newinstances_updated/instance16/instance16_8144_4096_0.npz,"1,00E-07",4096,64,2.5157175064086914
newinstances_updated/instance19/instance19_28225_4096_2.npz,9.999999999999999e-06,4096,512,6.422234535217285
newinstances_updated/instance14/instance14_13197_4096_2.npz,9.999999999999999e-06,4096,32,21.24539351463318
newinstances_updated/instance14/instance14_7969_4096_0.npz,"1,00E-07",4096,512,0.982837438583374
newinstances_updated/instance17/instance17_10104_4096_0.npz,"1,00E-07",4096,32,3.092442035675049
newinstances_updated/instance19/instance19_37430_8192_0.npz,"1,00E-07",8192,512,2.2585487365722656
newinstances_updated/instance11/instance11_13716_8192_0.npz,"1,00E-07",8192,64,8.24349331855774
newinstances_updated/instance14/instance14_22113_8192_2.npz,9.999999999999999e-06,8192,32,114.68003964424133
newinstances_updated/instance19/instance19_37936_8192_0.npz,"1,00E-07",8192,256,3.0129482746124268
newinstances_updated/instance18/instance18_34012_8192_2.npz,9.999999999999999e-06,8192,64,158.34653615951538
newinstances_updated/instance19/instance19_29992_8192_0.npz,"1,00E-07",8192,32,115.48095417022705
newinstances_updated/instance18/instance18_28241_8192_0.npz,"1,00E-07",8192,32,9.586387395858765
newinstances_updated/instance19/instance19_53237_8192_3.npz,9.999999999999999e-05,8192,8,110.283278465271
newinstances_updated/instance19/instance19_41606_8192_0.npz,"1,00E-07",8192,4,424.4244034290314
newinstances_updated/instance19/instance19_49488_8192_1.npz,"1,00E-06",8192,8,212.0675914287567
newinstances_updated/instance17/instance17_19214_8192_0.npz,"1,00E-07",8192,16,8.784454107284546
newinstances_updated/instance11/instance11_17480_8192_0.npz,"1,00E-07",8192,128,555.4574060440063
newinstances_updated/instance18/instance18_29962_8192_0.npz,"1,00E-07",8192,16,49.63001561164856
newinstances_updated/instance18/instance18_24361_8192_0.npz,"1,00E-07",8192,64,26.826801300048828
newinstances_updated/instance10/instance10_12527_8192_0.npz,"1,00E-07",8192,512,90.22653150558472
newinstances_updated/instance12/instance12_24543_8192_1.npz,"1,00E-06",8192,16,72.08531856536865
newinstances_updated/instance13/instance13_18318_8192_0.npz,"1,00E-07",8192,256,1.4857232570648193
newinstances_updated/instance18/instance18_32981_8192_1.npz,"1,00E-06",8192,8,37.414525508880615
newinstances_updated/instance12/instance12_25430_8192_1.npz,"1,00E-06",8192,128,408.56257152557373
newinstances_updated/instance19/instance19_37701_8192_0.npz,"1,00E-07",8192,128,1.5148138999938965
newinstances_updated/instance12/instance12_24260_8192_1.npz,"1,00E-06",8192,64,57.706438064575195
newinstances_updated/instance15/instance15_16852_8192_2.npz,9.999999999999999e-06,8192,16,155.35600686073303
newinstances_updated/instance18/instance18_26894_8192_0.npz,"1,00E-07",8192,512,6.061976909637451
newinstances_updated/instance12/instance12_20570_8192_0.npz,"1,00E-07",8192,256,56.56804037094116
newinstances_updated/instance19/instance19_45589_8192_1.npz,"1,00E-06",8192,512,19.483339071273804
newinstances_updated/instance14/instance14_19481_8192_1.npz,"1,00E-06",8192,16,32.57749843597412
newinstances_updated/instance15/instance15_14379_8192_0.npz,"1,00E-07",8192,8,31.430676698684692
newinstances_updated/instance18/instance18_30430_8192_0.npz,"1,00E-07",8192,128,103.37101912498474
newinstances_updated/instance19/instance19_39130_8192_0.npz,"1,00E-07",8192,2,55.99310898780823
newinstances_updated/instance18/instance18_34790_8192_4.npz,1,8192,256,103.42090916633606
newinstances_updated/instance13/instance13_20564_8192_0.npz,"1,00E-07",8192,64,249.49743723869324
newinstances_updated/instance16/instance16_24317_8192_2.npz,9.999999999999999e-06,8192,4,19.354342460632324
newinstances_updated/instance19/instance19_33748_8192_0.npz,"1,00E-07",8192,64,7.211937189102173
newinstances_updated/instance11/instance11_13247_8192_0.npz,"1,00E-07",8192,256,12.791409969329834
newinstances_updated/instance18/instance18_30081_8192_0.npz,"1,00E-07",8192,64,60.666351556777954
newinstances_updated/instance10/instance10_14356_8192_0.npz,"1,00E-07",8192,8,20.63744044303894
newinstances_updated/instance18/instance18_26324_8192_0.npz,"1,00E-07",8192,1024,18.444459915161133
newinstances_updated/instance18/instance18_29294_8192_0.npz,"1,00E-07",8192,4,104.71225023269653
newinstances_updated/instance16/instance16_21465_8192_0.npz,"1,00E-07",8192,1024,1091.5898525714874
newinstances_updated/instance19/instance19_45482_8192_1.npz,"1,00E-06",8192,64,60.847373723983765
newinstances_updated/instance17/instance17_18174_8192_0.npz,"1,00E-07",8192,64,114.74367141723633
newinstances_updated/instance17/instance17_26352_8192_1.npz,"1,00E-06",8192,512,1124.28906583786
newinstances_updated/instance17/instance17_19436_8192_0.npz,"1,00E-07",8192,128,11.414429426193237
newinstances_updated/instance15/instance15_11639_8192_0.npz,"1,00E-07",8192,512,10.892045259475708
