ID,Kernel,alpha,N,Delta,time
28850,2,1E-05,4096,512,79.1922047138214
56603,3,0.0001,4096,512,80.1147129535675
56622,3,0.0001,4096,512,270.770831823349
56656,3,0.0001,4096,512,123.399306297302
56669,3,0.0001,4096,512,84.2720963954926
56676,3,0.0001,4096,512,247.676389932632
56689,3,0.0001,4096,512,96.5363438129425
56697,3,0.0001,4096,512,56.9675104618073
56718,3,0.0001,4096,512,158.981322050095
56731,3,0.0001,4096,512,190.870227813721
56739,3,0.0001,4096,512,468.26873922348
56746,3,0.0001,4096,512,141.480522632599
56755,3,0.0001,4096,512,88.1503338813782
56762,3,0.0001,4096,512,77.7299463748932
56770,3,0.0001,4096,512,87.5712976455688
56779,3,0.0001,4096,512,101.163582086563
56787,3,0.0001,4096,512,328.858211755753
56794,3,0.0001,4096,512,108.843245506287
56802,3,0.0001,4096,512,65.2205798625946
56811,3,0.0001,4096,512,96.6000330448151
56826,3,0.0001,4096,512,66.8434610366821
56833,3,0.0001,4096,512,47.7004995346069
56841,3,0.0001,4096,512,171.226078271866
56850,3,0.0001,4096,512,73.5822994709015
56859,3,0.0001,4096,512,1117.95921468735
56868,3,0.0001,4096,512,83.2921891212463
56878,3,0.0001,4096,512,149.277918577194
56888,3,0.0001,4096,512,131.143493652344
56897,3,0.0001,4096,512,450.580622673035
56906,3,0.0001,4096,512,184.278240442276
56915,3,0.0001,4096,512,321.599667787552
56924,3,0.0001,4096,512,84.4759273529053
56933,3,0.0001,4096,512,244.977628946304
56942,3,0.0001,4096,512,106.603562355042
56951,3,0.0001,4096,512,610.684522151947
56960,3,0.0001,4096,512,290.222144603729
56969,3,0.0001,4096,512,89.3704795837402
56978,3,0.0001,4096,512,64.7292096614838
56987,3,0.0001,4096,512,351.099245786667
56996,3,0.0001,4096,512,255.207759141922
57005,3,0.0001,4096,512,206.546194314957
57014,3,0.0001,4096,512,49.7679932117462
57023,3,0.0001,4096,512,175.518200874329
57032,3,0.0001,4096,512,317.794696569443
57041,3,0.0001,4096,512,66.0401136875153
57050,3,0.0001,4096,512,67.2957661151886
57059,3,0.0001,4096,512,107.866374969482
57068,3,0.0001,4096,512,58.8709185123444
57077,3,0.0001,4096,512,75.9080362319946
57087,3,0.0001,4096,512,56.0146617889404
62736,3,1E-06,8192,1024,2973.54102301598
67168,3,1E-05,8192,1024,544.918761968613
67174,3,1E-05,8192,1024,3600.01116847992
67255,3,1E-05,8192,1024,746.847614049912
67272,3,1E-05,8192,1024,3600.00766015053
67330,3,1E-05,8192,1024,1310.6826312542
67344,3,1E-05,8192,1024,1995.55036973953
67360,3,1E-05,8192,1024,431.183925867081
67376,3,1E-05,8192,1024,371.884548664093
67401,3,1E-05,8192,1024,1974.61780786514
67417,3,1E-05,8192,1024,1069.23556256294
67434,3,1E-05,8192,1024,1607.79086136818
67449,3,1E-05,8192,1024,891.48979640007
67536,3,1E-05,8192,1024,3600.00823688507
67552,3,1E-05,8192,1024,3600.00733351707
67569,3,1E-05,8192,1024,3600.02092266083
67605,3,1E-05,8192,1024,3600.01004815102
67641,3,1E-05,8192,1024,2014.32337355614
67667,3,1E-05,8192,1024,3600.06801724434
67700,3,1E-05,8192,1024,3600.00924992561
67808,3,1E-05,8192,1024,3600.00789618492
67861,3,1E-05,8192,1024,1578.57207131386
67897,3,1E-05,8192,1024,2897.93846988678
67943,3,1E-05,8192,1024,3600.00714421272
67997,3,1E-05,8192,1024,2020.60103845596
68014,3,1E-05,8192,1024,3600.00751900673
68070,3,1E-05,8192,1024,3121.47133898735
68146,3,1E-05,8192,1024,3600.01551127434
68164,3,1E-05,8192,1024,3600.00840425491
68223,3,1E-05,8192,1024,1250.33319067955
68239,3,1E-05,8192,1024,2002.33348894119
68257,3,1E-05,8192,1024,1854.3015704155
68275,3,1E-05,8192,1024,3600.02786779404
68302,3,1E-05,8192,1024,3600.01782155037
68320,3,1E-05,8192,1024,3600.00988888741
68365,3,1E-05,8192,1024,3600.01683187485
68421,3,1E-05,8192,1024,3600.00708007813
68448,3,1E-05,8192,1024,3600.00742530823
68466,3,1E-05,8192,1024,3600.0069527626
68635,3,1E-05,8192,1024,3600.01077413559
109072,5,1E-07,8192,8,28.353312253952
156411,7,1E-05,8192,1024,1563.37173199654
156463,7,1E-05,8192,1024,730.058320045471
156489,7,1E-05,8192,1024,1756.90925979614
157013,7,1E-05,8192,1024,3600.00843667984
157024,7,1E-05,8192,1024,2070.97354245186
185235,8,1E-05,8192,1024,3087.18573355675
185260,8,1E-05,8192,1024,430.884175539017
185314,8,1E-05,8192,1024,3600.00830078125
185345,8,1E-05,8192,1024,228.21103644371
