N,alpha,Kernel,Slip0,SlipBFGS,SlipScarp,SlipSur,Scarp,Sur,Bfgs
512,1E-07,1,2.7787343653391,2.73587454317296,2.73448841069009,2.73449570182966,2.74415487036991,2.73779951344552,2.73317660005601
512,1E-06,1,2.76422368116897,2.73745131888172,2.73492136638396,2.73472790182966,2.74429167036991,2.73804431344552,2.73317660005601
512,1E-05,1,2.75775117378053,2.73868559430125,2.735868940748,2.73704990182966,2.74565967036991,2.74049231344553,2.73317660005601
512,0.0001,1,3.13844732775278,2.74305683879753,2.745948940748,2.74969938019726,2.75933967036991,2.76497231344553,2.73317660005601
512,0.001,1,9.21830654720412,2.76669314585372,2.77495076858073,2.7761458254541,2.89613967036991,3.00977231344552,2.73317660005601
1024,1E-07,1,2.76202114141542,2.73456250969167,2.73397305603521,2.73334633377424,2.74304210161932,2.73377748002461,2.73317060777912
1024,1E-06,1,2.74563173365063,2.7357120836811,2.73432650796944,2.73376933377424,2.74328870161932,2.73420948002461,2.73317060777912
1024,1E-05,1,2.77612174507351,2.73778691676796,2.73674701030753,2.73799933377424,2.74575470161932,2.73852948002461,2.73317060777912
1024,0.0001,1,3.13257395287581,2.74057279878718,2.74043751960214,2.74103583584479,2.77041470161932,2.78172948002461,2.73317060777912
1024,0.001,1,9.85753399641492,2.77125302034847,2.76601578812593,2.76952016004632,3.01701470161932,3.21372948002461,2.73317060777912
2048,1E-07,1,2.74189347446825,2.73451853411364,2.7335957853687,2.73349559512469,2.73468939051204,2.73363661126948,2.73316693613322
2048,1E-06,1,2.74472553396606,2.73483900265378,2.7340223853687,2.73433979512469,2.73513939051204,2.73448801126948,2.73316693613322
2048,1E-05,1,2.76005004587487,2.73667841111661,2.73741729446587,2.74259476530352,2.73963939051204,2.74300201126948,2.73316693613322
2048,0.0001,1,4.78075366335609,2.76200102363638,2.73969197667337,2.73867625692249,2.78463939051204,2.82814201126948,2.73316693613322
2048,0.001,1,9.85750711919936,2.77819594942354,2.76815312293393,2.76867272718905,3.23463939051204,3.67954201126948,2.73316693613322
4096,1E-07,1,2.74088812069363,2.73425422846402,2.73328165943772,2.73337539078136,2.73333729594299,2.73356287567603,2.7331693635116
4096,1E-06,1,2.74677061694159,2.73633233566563,2.73415459153801,2.73500709078136,2.73422199594299,2.73522337567603,2.7331693635116
4096,1E-05,1,3.12874418257637,2.73683956061689,2.74028024519102,2.73554875329803,2.74306899594299,2.75182837567603,2.7331693635116
4096,0.0001,1,4.7807507858384,2.74901675395116,2.7395506268015,2.73800933221,2.83153899594299,2.91787837567603,2.7331693635116
